Time (s), Cell Name, Value
917.45, C011, 101.5565
930.7, C011, 48.01395
937.05, C011, 42.65864
945, C011, 67.19515
962.9, C011, 48.69233
964.1, C011, 208.07
969.65, C011, 30.63395
996.85, C011, 57.19711
1008.1, C011, 44.8032
1012.05, C011, 307.1149
1014.05, C011, 277.3201
1017.5, C011, 35.73746
1017.85, C011, 49.35399
1031.05, C011, 37.09381
1036.3, C011, 43.08704
1037.65, C011, 84.47739
1050.349999, C011, 87.14278
1053.9, C011, 80.68855
1058.599999, C011, 104.8903
1060.75, C011, 55.67979
1064.05, C011, 40.86789
1066.55, C011, 30.66181
1071.849999, C011, 69.74819
1073.15, C011, 39.12247
1078.2, C011, 29.57661
1091.75, C011, 38.72782
1092.05, C011, 62.85044
1097, C011, 51.05277
1101, C011, 55.12737
1101.65, C011, 95.70755
1109.95, C011, 28.43823
1110.55, C011, 43.63198
1113.95, C011, 71.71414
1114.95, C011, 204.6632
1120.6, C011, 30.38767
1125.9, C011, 44.81548
1127.35, C011, 45.2727
1133.15, C011, 589.5244
1135.5, C011, 80.76389
1143.4, C011, 62.64673
1144.75, C011, 68.54616
1158.5, C011, 85.23604
1164.7, C011, 94.50391
1174.25, C011, 53.13989
1183.2, C011, 98.33961
1183.5, C011, 63.70477
1186.05, C011, 177.5082
1188.75, C011, 34.54047
1.3, C012, 61.13427
13.15, C012, 519.8444
20.05, C012, 77.63576
21.1, C012, 104.9084
46.65, C012, 91.16808
50.6, C012, 43.08816
53.75, C012, 85.65744
74.7, C012, 73.12897
75.7, C012, 84.09399
76.05, C012, 106.5053
81.65000000000001, C012, 38.98816
89.09999999999999, C012, 124.2216
90.90000000000001, C012, 105.3065
92.65000000000001, C012, 25.43384
98.65000000000001, C012, 90.49275
104.6, C012, 27.35019
110.55, C012, 45.92301
111.65, C012, 29.62424
113.25, C012, 49.00154
113.85, C012, 39.25874
118.9, C012, 31.6004
124.65, C012, 35.69145
126.45, C012, 36.7466
129.25, C012, 356.2394
135.4, C012, 26.07219
142.85, C012, 499.6318
145.25, C012, 39.42154
146.7, C012, 33.24862
148.5, C012, 44.36527
152.3, C012, 61.6015
158.3, C012, 64.16827
162.15, C012, 32.88636
164.1, C012, 64.31874
167.05, C012, 58.36471
173.8, C012, 38.58906
174.1, C012, 333.1827
177.55, C012, 32.50745
177.8, C012, 26.16137
184.3, C012, 45.19601
186.4, C012, 39.93347
187.95, C012, 45.07921
189.7, C012, 51.62333
190.3, C012, 67.3305
192.4, C012, 37.57373
221.95, C012, 64.29497
223.95, C012, 114.9209
229.5, C012, 35.36532
231.8, C012, 25.60657
232, C012, 24.98213
242.1, C012, 51.45716
243.6, C012, 71.56824
248.25, C012, 77.62371
255.7, C012, 45.23857
264.3, C012, 172.7687
265.35, C012, 24.7095
265.5, C012, 31.22839
276.6, C012, 51.29796
276.95, C012, 75.08424
277.25, C012, 76.93137
315.45, C012, 255.7791
321.45, C012, 90.27724
322.6, C012, 30.08004
324.8, C012, 33.57436
359.95, C012, 44.40611
384.45, C012, 31.87912
392.6, C012, 41.50544
394.5, C012, 30.79201
548.6, C012, 68.62764
549.05, C012, 181.221
554.35, C012, 44.7346
554.65, C012, 130.4671
560.9, C012, 38.54227
601.05, C012, 29.62976
611.95, C012, 24.82427
615.6, C012, 32.00346
620.35, C012, 26.31276
626.6, C012, 35.18997
635.5, C012, 42.31907
637.3, C012, 35.94999
649.65, C012, 72.77448
651.3, C012, 48.29018
657.1, C012, 25.93282
758.05, C012, 26.26944
816.8, C012, 26.42395
849.5, C012, 36.05311
887.6, C012, 24.62249
963.1, C012, 31.95556
1015.55, C012, 28.29628
1034, C012, 79.49638
1065.75, C012, 53.24776
1075.45, C012, 176.041
1079.05, C012, 118.1854
1083.65, C012, 60.13528
1091.85, C012, 57.70029
1101.6, C012, 50.79329
1104.4, C012, 30.34857
1113.9, C012, 30.38029
1116.45, C012, 64.31476
1117, C012, 68.49936
1117.5, C012, 28.7407
1119.4, C012, 58.8298
1122, C012, 54.56804
1133.1, C012, 341.6888
1140.95, C012, 44.78747
1145.1, C012, 316.6115
1166.55, C012, 70.56639
1169.4, C012, 30.6497
1169.8, C012, 36.0069
1170, C012, 47.08556
1181.55, C012, 77.34464
1183.15, C012, 56.4685
1185.85, C012, 41.32453
1192.35, C012, 68.38471
1198.75, C012, 67.66373
1.25, C013, 175.303
3.9, C013, 45.40213
4.15, C013, 569.5634
9.699999999999999, C013, 67.5696
15.25, C013, 38.39359
19.5, C013, 596.6455
29.4, C013, 685.2731
35, C013, 41.31488
44.5, C013, 129.795
46.45, C013, 50.19978
50.9, C013, 105.2546
54, C013, 488.537
58.05, C013, 51.38389
62.65, C013, 88.6047
64.45, C013, 53.7
